name,global_file,tw_global,twitter,analysis,suggestions,comment
Bremen,de-bremen.md,BremenRebellion,BremenRebellion,found_both,,"prefix to remove, current data is : https://twitter.com/@BremenRebellion - "
Cologne,de-cologne.md,CologneXr,CologneXr,found_both,,
Waveney East,gb-waveney-east.md,east_xr,east_xr,found_both,,
Brabant,nl-brabant.md,Extinct88430619,Extinct88430619,found_both,,
New Zealand,nz-new-zealand.md,extinctionnz,ExtinctionNZ,found_both,,
Germany,de-germany.md,ExtinctionR_DE,ExtinctionR_DE,found_both,"youth_xr,",
Norway,no-norway.md,ExtinctionR_NO,ExtinctionR_NO,found_both,,
Sweden,se-sweden.md,ExtinctionR_SV,ExtinctionR_SV,found_both,,
Denmark,dk-denmark.md,extinctionrdk,ExtinctionRDK,found_both,,
Oswestry,gb-oswestry.md,ExtinctionReb10,ExtinctionReb10,found_both,,
Colombia,co-colombia.md,ExtinctionRebe2,ExtinctionRebe2,found_both,,"suffix to remove, current data is : https://twitter.com/ExtinctionRebe2/ - "
Ireland,ie-ireland.md,ExtinctRebelsIE,ExtinctRebelsIE,found_both,"XRYIreland,ExtinctionI,",
Israel,il-israel.md,IsraelRebellion,IsraelRebellion,found_both,,
Milan,it-milan.md,milano_xr,milano_xr,found_both,,
Netherlands,nl-netherlands.md,nlrebellion,NLRebellion,found_both,,
The Hague,nl-the-hague.md,NLRebellion,NLRebellion,found_both,"XRTheHague,",
Shoreham-by-Sea,gb-shoreham-by-sea.md,RebellionBy,RebellionBy,found_both,,
Scotland,gb-scotland.md,ScotlandXr,ScotlandXr,found_both,"ScotlandXry,",
Stuttgart,de-stuttgart.md,StuttgartXr,StuttgartXr,found_both,,
Bayreuth,de-bayreuth.md,XR_Bayreuth,XR_Bayreuth,found_both,,
Bordeaux,fr-bordeaux.md,XR_Bordeaux,XR_Bordeaux,found_both,,
Delhi,in-delhi.md,xr_delhi,xr_delhi,found_both,"DelhiRebellion,XRDELHI,",
Dresden,de-dresden.md,xr_dresden,XR_Dresden,found_both,,
Freiburg,de-freiburg.md,XR_Freiburg,XR_Freiburg,found_both,,
Godalming,gb-godalming.md,XR_Godalming,XR_Godalming,found_both,,
Heidelberg,de-heidelberg.md,XR_Heidelberg,XR_Heidelberg,found_both,,
Kiel,de-kiel.md,xr_kiel,xr_kiel,found_both,,
Oxford,gb-oxford.md,xr_oxford,XR_Oxford,found_both,,
Avignon,fr-avignon.md,XR_paca,XR_Paca,found_both,,
Aix en Provence,fr-aix-en-provence.md,XR_paca,XR_Paca,found_both,,
Toulon,fr-toulon.md,XR_paca,XR_Paca,found_both,,
Vence,fr-vence.md,XR_paca,XR_Paca,found_both,,
Alpes Maritimes,fr-alpes-maritimes.md,XR_paca,XR_Paca,found_both,,
Marseille,fr-marseille.md,XR_paca,XR_Paca,found_both,"XR_Marseille,",
Alpes de Haute Provence,fr-alpes-de-haute-provence.md,XR_paca,XR_Paca,found_both,,
PACA,fr-paca.md,XR_paca,XR_Paca,found_both,,
Arles,fr-arles.md,XR_paca,XR_Paca,found_both,,
Montreal,ca-montreal.md,XR_Quebec,XR_Quebec,found_both,,
