id,screen_name,name,location,description,url
1198214906744655875,Saveourplanet99,Save our planet - Amstelveen,,Mobilize to save the climate and all living beings. Sympatising with XR. No time to waste! #ClimateAction,
1191949482990157825,XR_Vic,Extinction Rebellion Vic,"Victoria, Australia",Extinction Rebellion Victoria (Australia). We are in a climate emergency and must act now. Open DMs.,https://t.co/AOCt5ilr2q
265307330,volCeho,Anthropocène,,"« Pour ce qui est de l'avenir, il ne s'agit pas de le prévoir, mais de le rendre possible.”Antoine de Saint-Exupéry»,#ExtinctionRebellion,#WeDontHaveTime",
1152305307596525569,redrebelbrigade,Red Rebel Brigade,"Bristol, England",The Red Rebel Brigade is a performative activist arts group created as a response to the global environmental crisis. To join visit our website,https://t.co/HGHTAP9012
1201533682349232129,XR_SaintEtienne,@XR_SaintEtienne,"Saint-Etienne, France",Groupe local d’Extinction Rebellion. Mouvement de désobéissance civile en lutte contre l’effondrement écologique. st-etienne@extinctionrebellion.fr,
1192926146591105027,XR_LES,XRNYC Lower EastSide,NYC Lower East Side,XR NYC LES #ExtinctionRebellion #TellTheTruth #ActNow #RebelForLife part of @XR_NYC,https://t.co/ObLFOaBzWw
1200397887005429760,XR_Future,XR Future,,"Enabling Extinction Rebellion to truly decentralise and evolve beyond hierarchy, oppressive power structures and founder's syndrome.",
1200019559316643840,AR_Koeln,Animal Rebellion Koeln,"Cologne, Germany","Wir sind die Ortgruppe Köln der internationalen Bewegung #AnimalRebellion und wollen die Tierindustrie beenden.
In Solidarität zu @ExtinctionR_DE",https://t.co/gjD3pRJlzE
1197172530248855553,AnimalRebelsHTX,Animal Rebellion Houston,,We stand in solidarity with @extinctionrebellion to fight the climate crisis ⏳ End animal agriculture Plant-based food system 🌱,
1193877985281159174,XR_Iserlohn,Extinction Rebellion Iserlohn,"Iserlohn, Deutschland","Hier twittert die Ortsgruppe Iserlohn von  Extinction Rebellion.
Gewaltfrei. Zivil. Ungehorsam.
Gegen die #Klimakrise 
Kontakt: iserlohn@extinctionrebellion.de",
1179147551074869248,AetherXr,XRAether,,"""For the boots on the ground, 
from the voice on the winds""",
1180799428338360320,XRScotBorders,XR Scottish Borders,Scottish Borders,"Extinction Rebellion Scottish Borders- all welcome to join, just bring your love, rage and cake!",
1188669265001345024,RebellionBc,"Extinction Rebellion Sunshine Coast, BC","Sunshine Coast, BC",#ExtinctionRebellion affiliate group rebelling with compassion on the Sunshine Coast of British Columbia. #RebelForLife,https://t.co/WwLkv2MM8q
1202961286667079680,xrhulluni,xrhulluni,Kingston upon Hull,We are the Hull University branch of Extinction Rebellion! We want to fight the climate crisis and hold our university to account!🌿🌿,
1195302700893843458,ExeterUniXr,Exeter Uni XR,,🌍Extinction Rebellion Exeter University Group🌎,
1163396097399840768,ScotlandXry,XR Youth Scotland,"Scotland, United Kingdom",Extinction Rebellion Youth Scotland- System change not climate change! Follow for information on events in Scotland.,https://t.co/fKYaCYu8H4
